S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
25/07/2008,"1,257.80","1,253.50","1,263.20","1,251.80",,0.42%
28/07/2008,"1,234.40","1,257.80","1,260.10","1,234.40",,-1.86%
29/07/2008,"1,263.20","1,236.40","1,263.20","1,236.40",,2.33%
30/07/2008,"1,284.30","1,264.50","1,284.30","1,264.50",,1.67%
31/07/2008,"1,267.40","1,281.40","1,284.90","1,266.00",,-1.32%
01/08/2008,"1,260.30","1,269.40","1,270.50","1,254.50",,-0.56%
04/08/2008,"1,249.00","1,260.20","1,260.50","1,247.50",,-0.90%
05/08/2008,"1,284.90","1,254.90","1,284.90","1,254.70",,2.87%
06/08/2008,"1,289.20","1,284.00","1,291.70","1,276.00",,0.33%
07/08/2008,"1,266.10","1,286.50","1,286.50","1,264.30",,-1.79%
08/08/2008,"1,296.30","1,266.30","1,297.80","1,262.10",,2.39%
11/08/2008,"1,305.30","1,294.40","1,313.20","1,291.40",,0.69%
12/08/2008,"1,289.60","1,304.80","1,304.80","1,285.60",,-1.20%
13/08/2008,"1,285.80","1,288.60","1,294.00","1,274.90",,-0.29%
14/08/2008,"1,292.90","1,282.10","1,300.10","1,276.80",,0.55%
15/08/2008,"1,298.20","1,293.80","1,302.00","1,290.70",,0.41%
18/08/2008,"1,278.60","1,298.10","1,300.20","1,274.50",,-1.51%
19/08/2008,"1,266.70","1,276.70","1,276.70","1,263.10",,-0.93%
20/08/2008,"1,274.50","1,267.30","1,276.00","1,261.20",,0.62%
21/08/2008,"1,277.70","1,271.10","1,281.40","1,265.20",,0.25%
22/08/2008,"1,292.20","1,277.60","1,293.10","1,277.60",,1.13%
25/08/2008,"1,266.80","1,290.50","1,290.50","1,264.90",,-1.97%
26/08/2008,"1,271.50","1,267.00","1,275.70","1,263.20",,0.37%
27/08/2008,"1,281.70","1,271.30","1,285.00","1,270.00",,0.80%
28/08/2008,"1,300.70","1,283.80","1,300.70","1,283.80",,1.48%
29/08/2008,"1,282.80","1,296.50","1,297.60","1,282.70",,-1.38%
02/09/2008,"1,277.60","1,287.80","1,303.00","1,272.20",,-0.41%
03/09/2008,"1,275.00","1,276.60","1,280.60","1,265.60",,-0.20%
04/09/2008,"1,236.80","1,271.80","1,271.80","1,232.80",,-3.00%
